year,npc_name,total_crimes,crime_rate_per_1000
2022,YISHUN NORTH,43,0.29
2022,YISHUN SOUTH,18,0.12
2023,ANG MO KIO NORTH,28,0.19
2023,ANG MO KIO SOUTH,34,0.23
2023,BEDOK,78,0.52
2023,BISHAN,29,0.19
2023,BUKIT BATOK,61,0.41
2023,BUKIT MERAH EAST,66,0.44
2023,BUKIT MERAH WEST,33,0.22
2023,BUKIT PANJANG,34,0.23
2023,BUKIT TIMAH,31,0.21
2023,CHANGI,36,0.24
2023,CHOA CHU KANG,53,0.35
2023,CLEMENTI,31,0.21
2023,GEYLANG,79,0.53
2023,HOUGANG,48,0.32
2023,JURONG EAST,45,0.3
2023,JURONG WEST,57,0.38
2023,KAMPONG JAVA,36,0.24
2023,MARINA BAY,158,1.05
2023,MARINE PARADE,36,0.24
2023,NANYANG,61,0.41
2023,ORCHARD,129,0.86
2023,PASIR RIS,36,0.24
2023,PUNGGOL,39,0.26
2023,QUEENSTOWN,43,0.29
2023,ROCHOR,73,0.49
2023,SEMBAWANG,33,0.22
2023,SENGKANG,62,0.41
2023,SERANGOON,33,0.22
2023,TAMPINES,54,0.36
2023,TOA PAYOH,53,0.35
2023,UNKNOWN,21,0.14
2023,WOODLANDS,0,0.0
2023,WOODLANDS EAST,36,0.24
2023,WOODLANDS WEST,40,0.27
2023,WOODLEIGH,13,0.09
2023,YISHUN,0,0.0
2023,YISHUN NORTH,37,0.25
2023,YISHUN SOUTH,10,0.07
2024,ANG MO KIO NORTH,18,0.12
2024,ANG MO KIO SOUTH,15,0.1
2024,BEDOK,55,0.37
2024,BISHAN,26,0.17
2024,BUKIT BATOK,60,0.4
2024,BUKIT MERAH EAST,53,0.35
2024,BUKIT MERAH WEST,55,0.37
2024,BUKIT PANJANG,36,0.24
2024,BUKIT TIMAH,23,0.15
2024,CHANGI,33,0.22
2024,CHOA CHU KANG,54,0.36
2024,CLEMENTI,32,0.21
2024,GEYLANG,75,0.5
2024,HOUGANG,25,0.17
2024,JURONG EAST,50,0.33
2024,JURONG WEST,56,0.37
2024,KAMPONG JAVA,33,0.22
2024,MARINA BAY,137,0.91
2024,MARINE PARADE,35,0.23
2024,NANYANG,55,0.37
2024,ORCHARD,134,0.89
2024,PASIR RIS,24,0.16
2024,PUNGGOL,56,0.37
2024,QUEENSTOWN,70,0.47
2024,ROCHOR,70,0.47
2024,SEMBAWANG,19,0.13
2024,SENGKANG,67,0.45
2024,SERANGOON,32,0.21
2024,TAMPINES,34,0.23
2024,TOA PAYOH,34,0.23
2024,UNKNOWN,18,0.12
2024,WOODLANDS,0,0.0
2024,WOODLANDS EAST,39,0.26
2024,WOODLANDS WEST,34,0.23
2024,WOODLEIGH,40,0.27
2024,YISHUN,3,0.02
2024,YISHUN NORTH,32,0.21
2024,YISHUN SOUTH,16,0.11
