NAME,station_type,latitude,longitude,STN_NAME
MARINA SOUTH PIER MRT STATION,MRT,1.271377381149496,103.86291089278309,MARINA SOUTH PIER
TUAS LINK MRT STATION,MRT,1.3403799470752327,103.63681865744921,TUAS LINK
STEVENS MRT STATION,MRT,1.319385743019868,103.82556219134045,STEVENS
SENJA LRT STATION,LRT,1.382699241110327,103.76236875401857,SENJA
HAW PAR VILLA MRT STATION,MRT,1.2825029023308565,103.78182132863105,HAW PAR VILLA
ADMIRALTY MRT STATION,MRT,1.440587089699446,103.80097700864262,ADMIRALTY
TAI SENG FACILITY BUILDING,MRT,1.3421829603807038,103.89520334049523,TAI SENG FACILITY BUILDING
TUAS CRESCENT MRT STATION,MRT,1.3210532515588156,103.64906349734215,TUAS CRESCENT
TUAS WEST ROAD MRT STATION,MRT,1.3299818232294567,103.63962756178739,TUAS WEST ROAD
MOUNT PLEASANT MRT STATION,MRT,1.3285471134383062,103.83506011911706,MOUNT PLEASANT
FARRER PARK MRT STATION,MRT,1.3124482279810736,103.85427015831633,FARRER PARK
MARINE TERRACE MRT STATION,MRT,1.3067861814062411,103.9153158404512,MARINE TERRACE
CALDECOTT MRT STATION,MRT,1.3373172462786138,103.84013848431869,CALDECOTT
BRADDELL MRT STATION,MRT,1.3404441140484697,103.84679989873356,BRADDELL
KIM CHUAN DEPOT,MRT,1.3417695943208838,103.88893843010796,KIM CHUAN DEPOT
SUB STATION,MRT,1.3344440447599257,103.9637509217108,SUB STATION
EXPO MRT STATION,MRT,1.3345493613165362,103.96154622929151,EXPO
HAVELOCK MRT STATION,MRT,1.2884503881586142,103.83357369642785,HAVELOCK
NICOLL HIGHWAY MRT STATION,MRT,1.2998028299201994,103.86363313769341,NICOLL HIGHWAY
BUGIS MRT STATION,MRT,1.3006268207538052,103.85583934782896,BUGIS
LAVENDER MRT STATION,MRT,1.3073717305406238,103.86283780137497,LAVENDER
QUEENSTOWN MRT STATION,MRT,1.2946113321306543,103.80604523694412,QUEENSTOWN
PIONEER MRT STATION,MRT,1.3375865012263775,103.69731852936503,PIONEER
DAKOTA MRT STATION,MRT,1.3083751546451665,103.88866829968163,DAKOTA
KATONG PARK MRT STATION,MRT,1.297822496461215,103.88618207854142,KATONG PARK
KALLANG MRT STATION,MRT,1.3113966417459602,103.87131526313172,KALLANG
SIGLAP MRT STATION,MRT,1.3098767361346713,103.92987890883363,SIGLAP
SHENTON WAY MRT STATION,MRT,1.277619878766435,103.85062726536285,SHENTON WAY
HALIFAX SUB STATION CABLE TROUGH,MRT,1.310963404830264,103.84544885484112,HALIFAX SUB STATION CABLE TROUGH
JALAN BESAR MRT STATION,MRT,1.3053804831214166,103.85543504033971,JALAN BESAR
ORCHARD BOULEVARD MRT STATION,MRT,1.302633023962424,103.82385764843515,ORCHARD BOULEVARD
YEW TEE MRT STATION,MRT,1.3975496331645392,103.74740209264961,YEW TEE
BEDOK NORTH MRT STATION,MRT,1.3347556341377083,103.91787672273168,BEDOK NORTH
GUL CIRCLE MRT STATION,MRT,1.319564314920689,103.66059386897847,GUL CIRCLE
DOWNTOWN MRT STATION,MRT,1.2794414873782018,103.85285112534702,DOWNTOWN
BUKIT BATOK MRT STATION,MRT,1.3489966464349066,103.74954065600356,BUKIT BATOK
BISHAN DEPOT,MRT,1.3537195785822687,103.85475566650803,BISHAN DEPOT
REDHILL MRT STATION,MRT,1.2896195391445053,103.81679002791165,REDHILL
NAPIER MRT STATION,MRT,1.3067313563005127,103.81903764055825,NAPIER
JELAPANG LRT STATION,LRT,1.3866966743897435,103.7645005769824,JELAPANG
MATTAR MRT STATION,MRT,1.32686568205406,103.88325305881898,MATTAR
OUTRAM PARK MRT STATION,MRT,1.279797773382348,103.83944001238696,OUTRAM PARK
CHINATOWN MRT STATION,MRT,1.2846275213722047,103.84455749379326,CHINATOWN
MAXWELL MRT STATION,MRT,1.2805933534773526,103.84392208289995,MAXWELL
DHOBY GHAUT MRT STATION,MRT,1.2990442029924572,103.84583316040958,DHOBY GHAUT
FORT CANNING MRT STATION,MRT,1.2924715941138984,103.84432545085234,FORT CANNING
ESPLANADE MRT STATION,MRT,1.2932599000655098,103.85561173048427,ESPLANADE
TIONG BAHRU MRT STATION,MRT,1.2862197403648734,103.82703434066724,TIONG BAHRU
MAYFLOWER MRT STATION,MRT,1.3721031070709435,103.83679074465117,MAYFLOWER
PROMENADE MRT STATION,MRT,1.2932501666470508,103.86099644329532,PROMENADE
LORONG CHUAN MRT STATION,MRT,1.3516197561190195,103.86414412633293,LORONG CHUAN
SERANGOON MRT STATION,MRT,1.3505310710735132,103.87246307189737,SERANGOON
BARTLEY MRT STATION,MRT,1.3428468440311465,103.87972518707302,BARTLEY
SOUTH VIEW LRT STATION,LRT,1.3802982859121633,103.74529179982422,SOUTH VIEW
KEAT HONG LRT STATION,LRT,1.3786121661808872,103.749051504225,KEAT HONG
FERNVALE LRT STATION,LRT,1.391944192301356,103.87627965682016,FERNVALE
SOMERSET MRT STATION,MRT,1.3002576149469325,103.83907542827603,SOMERSET
NEWTON MRT STATION,MRT,1.3123222843618183,103.8379876642513,NEWTON
TELOK AYER MRT STATION,MRT,1.2822805842997462,103.848312848472,TELOK AYER
LITTLE INDIA MRT STATION,MRT,1.3071673591317268,103.84861049939104,LITTLE INDIA
HILLVIEW MRT STATION,MRT,1.3623400896876234,103.76742925198232,HILLVIEW
ROCHOR MRT STATION,MRT,1.3039275594307014,103.85243888424918,ROCHOR
PETIR LRT STATION,LRT,1.3777546489373798,103.76666731246796,PETIR
PHOENIX LRT STATION,LRT,1.3786249495777958,103.75803362350752,PHOENIX
CHANGI DEPOT,MRT,1.3292467573959708,103.95985008211325,CHANGI DEPOT
BOCC,MRT,1.3330541375804736,103.96531636341234,BOCC
KING ALBERT PARK MRT STATION,MRT,1.3356381112935833,103.78387153213814,KING ALBERT PARK
CASHEW MRT STATION,MRT,1.3693615843249332,103.76469719053986,CASHEW
